assay_id,split_type,episode,n_molecules,n_scaffold_groups,n_usable_groups,support_label_var,mean,knn_k1,knn_k3,knn_k5,kr_tanimoto_a0.01,kr_tanimoto_a0.1,kr_tanimoto_a1.0,ptn
CHEMBL3301537,random,3,374,274,10,0.07603897154331207,0.18882331252098083,0.16903026401996613,0.15929484367370605,0.15237435698509216,2.2129647731781006,2.371715545654297,3.9553050994873047,0.19391152262687683
CHEMBL3301537,scaffold,3,374,274,10,0.0059460923075675964,0.009134050458669662,0.013073284178972244,0.013073284178972244,0.013014508411288261,10.262165069580078,10.364544868469238,11.712942123413086,0.009418814443051815
CHEMBL3301537,random,4,374,274,10,0.20288120210170746,0.34197092056274414,0.24919730424880981,0.30067047476768494,0.2724561095237732,2.119002342224121,2.259932279586792,3.817269802093506,0.3597293198108673
CHEMBL3301537,scaffold,4,374,274,10,0.014048361219465733,0.016454383730888367,0.04572682827711105,0.0457269512116909,0.030686456710100174,3.3488593101501465,3.7799060344696045,5.329697608947754,0.007502319291234016
CHEMBL3301537,random,5,374,274,10,0.07343760132789612,0.06118069589138031,0.1025390625,0.0800587609410286,0.08069992065429688,3.5661251544952393,3.8116660118103027,5.722886085510254,0.09874579310417175
CHEMBL3301537,scaffold,5,374,274,10,0.006679288111627102,0.013544309884309769,0.01699996367096901,0.012373548001050949,0.01467152126133442,6.16364049911499,6.369245529174805,8.38071060180664,0.014335162937641144
CHEMBL3301537,random,6,374,274,10,0.11890986561775208,0.10117730498313904,0.12232281267642975,0.10683699697256088,0.10369963198900223,1.8620448112487793,1.9482475519180298,3.2704474925994873,0.1041233092546463
CHEMBL3301537,scaffold,6,374,274,10,0.018959268927574158,0.013719038106501102,0.08540097624063492,0.03723134100437164,0.017281070351600647,5.401072978973389,5.632652759552002,7.605991363525391,0.015919262543320656
CHEMBL3301537,random,7,374,274,10,0.07317928224802017,0.30773642659187317,0.37774449586868286,0.3571837544441223,0.3841060996055603,1.6289199590682983,1.722631573677063,2.814859390258789,0.3460046052932739
CHEMBL3301537,scaffold,7,374,274,10,0.019827943295240402,0.03786714747548103,0.08505582809448242,0.0821499153971672,0.061733100563287735,6.944362163543701,7.482315540313721,9.70982837677002,0.014942866750061512
CHEMBL3301537,random,8,374,274,10,0.19163140654563904,0.05638190731406212,0.25344011187553406,0.061325639486312866,0.05390457063913345,1.1901990175247192,1.3093302249908447,2.5702877044677734,0.061581194400787354
CHEMBL3301537,scaffold,8,374,274,10,0.008988182991743088,0.04394644498825073,0.01953897625207901,0.019538860768079758,0.01953897625207901,11.499780654907227,11.37799072265625,12.713665962219238,0.04547012597322464
CHEMBL3301537,random,9,374,274,10,0.03726118803024292,0.16812247037887573,0.25124630331993103,0.18794488906860352,0.18378488719463348,1.154015302658081,1.2823774814605713,2.777653694152832,0.1970553994178772
CHEMBL3301537,scaffold,9,374,274,10,0.028817813843488693,0.032160766422748566,0.019776195287704468,0.022331679239869118,0.030689258128404617,1.1287245750427246,1.1302422285079956,1.9224660396575928,0.01975328102707863
CHEMBL4267375,random,0,87,18,4,0.24425657093524933,0.2741183936595917,0.4228770136833191,0.36135736107826233,0.29438963532447815,0.5947352051734924,0.5309675335884094,0.7162950038909912,0.2586923837661743
CHEMBL4267375,scaffold,0,87,18,4,0.18330295383930206,0.19494891166687012,0.3394395709037781,0.18564610183238983,0.17063535749912262,1.8770716190338135,1.697730302810669,2.5515594482421875,0.22323325276374817
CHEMBL4267375,random,1,87,18,4,0.17012792825698853,0.17003542184829712,0.2064315378665924,0.23114988207817078,0.2224828004837036,0.921999990940094,0.7396473288536072,1.71946382522583,0.1703251302242279
CHEMBL4267375,scaffold,1,87,18,4,0.277591347694397,0.38662171363830566,0.6430863738059998,0.4354156255722046,0.43707695603370667,1.0344572067260742,0.8799741268157959,1.7083337306976318,0.29658299684524536
CHEMBL4267375,random,2,87,18,4,0.15737682580947876,0.1313897967338562,0.15027263760566711,0.1687467098236084,0.12774550914764404,0.38893938064575195,0.4346608519554138,1.2489415407180786,0.12050586938858032
CHEMBL4267375,scaffold,2,87,18,4,0.08998842537403107,0.501488447189331,0.6083483099937439,0.5860598087310791,0.5831828117370605,4.718461036682129,5.259698867797852,8.425104141235352,0.4665015935897827
CHEMBL4267375,random,3,87,18,4,0.11981865763664246,0.136709064245224,0.25193285942077637,0.13860836625099182,0.1263735294342041,0.4050029516220093,0.28512805700302124,0.5921337008476257,0.1420874297618866
CHEMBL4267375,scaffold,3,87,18,4,0.08416164666414261,0.0575355663895607,0.1572248637676239,0.06205417215824127,0.05470065027475357,2.214434862136841,3.1853785514831543,6.258344650268555,0.05508488416671753
