assay_id,n_scaffold_groups,n_molecules,delta_auprc,rmse,mae,spearman
CHEMBL2219203,127,155,-0.009259259259259264,0.07570358943194151,0.06783370394259691,1.0
CHEMBL2219208,127,155,0.0,0.10188129842281342,0.0826603777706623,0.5
CHEMBL2219211,128,157,0.0,0.08339177947491408,0.0794609080068767,
CHEMBL2219223,127,156,0.0,0.18178954860195518,0.15194540815427898,-0.18301270189221935
CHEMBL2219225,128,157,0.0,0.16402794448658825,0.13362512327730655,-0.5
CHEMBL2219232,125,153,0.016666666666666663,0.13347886744886636,0.11161534171551465,0.14999999999999997
CHEMBL2219236,114,140,0.016666666666666663,0.2883025698363781,0.24950555786490441,0.5
CHEMBL2219242,128,157,0.028571428571428564,0.2411098345182836,0.23600278412923217,0.30000000000000004
CHEMBL2219244,127,155,0.0,0.7679208248853684,0.7541069388389587,0.0
CHEMBL2219252,127,155,0.0,0.316622419655323,0.3013353206217289,0.35
CHEMBL2219267,126,154,0.0,0.15492202937602997,0.1159188274294138,
CHEMBL2219270,127,156,0.07283950617283952,0.15245627090334893,0.14379277527332307,-0.5
CHEMBL2219272,128,157,0.039999999999999994,0.307040424272418,0.29152214229106904,-0.15389675281277312
CHEMBL2219274,127,155,0.0,0.7744524374604225,0.748451505601406,0.5
CHEMBL2219283,128,157,0.0,0.10121916588395834,0.09769929535686969,-0.5
CHEMBL2219286,124,152,0.1111111111111111,0.3748073510825634,0.31319439634680746,0.0666666666666667
CHEMBL2219297,127,155,0.03703703703703704,0.23066867887973785,0.20934722647070886,0.5
CHEMBL2219305,128,157,0.04166666666666667,0.6303181944414973,0.6220575162209571,-1.0
CHEMBL2219308,125,153,0.010416666666666657,0.3281534368172288,0.28544786646962167,0.5
CHEMBL2219334,127,156,0.03333333333333334,0.08217947892844676,0.07387741077691316,-0.06698729810778065
CHEMBL2219335,127,155,0.12500000000000003,0.0979933318682015,0.08426535264588893,-0.16666666666666666
CHEMBL2219340,124,152,0.07453703703703703,0.8481457568705082,0.7394683580845595,-0.3333333333333333
CHEMBL2219352,128,157,0.14722222222222223,0.04211314059793949,0.03507640864700079,-0.19999999999999998
CHEMBL2219355,128,157,0.05555555555555556,0.12764365561306476,0.09984882287681103,0.16666666666666666
CHEMBL2219358,127,156,0.0,0.06892214361578226,0.06399198565632105,
CHEMBL2219359,127,156,0.0,0.13527971133589745,0.11628396734595299,1.0
CHEMBL2219363,128,157,0.0,0.26836968008428813,0.24271998219192029,0.5
CHEMBL2219366,127,155,0.08333333333333334,0.3112006772309542,0.27841479890048504,-0.5
